Index,Car,MPG,Cylinders,Displacement,Brake HP,Weight,Year,Origin
1,AMC Ambassador Brougham,13,8,360,175,3821,73,US
2,AMC Ambassador DPL,15,8,390,190,3850,70,US
3,AMC Ambassador SST,17,8,304,150,3672,72,US
4,AMC Concord,19.4,6,232,90,3210,78,US
5,AMC Concord,24.3,4,151,90,3003,80,US
6,AMC Concord d/l,18.1,6,258,120,3410,78,US
7,AMC Concord DL 6,20.2,6,232,90,3265,79,US
8,AMC Gremlin,21,6,199,90,2648,70,US
9,AMC Gremlin,19,6,232,100,2634,71,US
10,AMC Gremlin,18,6,232,100,2789,73,US
11,AMC Gremlin,20,6,232,100,2914,75,US
12,AMC Hornet,18,6,199,97,2774,70,US
13,AMC Hornet,18,6,232,100,2945,73,US
14,AMC Hornet,19,6,232,100,2901,74,US
15,AMC Hornet,22.5,6,232,90,3085,76,US
16,AMC Hornet Sportabout (sw),18,6,258,110,2962,71,US
17,AMC Matador,18,6,232,100,3288,71,US
18,AMC Matador,14,8,304,150,3672,73,US
19,AMC Matador,16,6,258,110,3632,74,US
20,AMC Matador,15,6,258,110,3730,75,US
21,AMC Matador,15.5,8,304,120,3962,76,US
22,AMC Matador (sw),15,8,304,150,3892,72,US
23,AMC Matador (sw),14,8,304,150,4257,74,US
24,AMC Pacer,19,6,232,90,3211,75,US
25,AMC Pacer d/l,17.5,6,258,95,3193,76,US
26,AMC Rebel SST,16,8,304,150,3433,70,US
27,AMC Spirit DL,27.4,4,121,80,2670,79,US
28,Audi 100 LS,24,4,107,90,2430,70,Europe
29,Audi 100LS,20,4,114,91,2582,73,Europe
30,Audi 100LS,23,4,115,95,2694,75,Europe
31,Audi 4000,34.3,4,97,78,2188,80,Europe
32,Audi 5000,20.3,5,131,103,2830,78,Europe
33,Audi 5000s (diesel),36.4,5,121,67,2950,80,Europe
34,Audi Fox,29,4,98,83,2219,74,Europe
35,BMW 2002,26,4,121,113,2234,70,Europe
36,BMW 320i,21.5,4,121,110,2600,77,Europe
37,Buick Century,17,6,231,110,3907,75,US
38,Buick Century,22.4,6,231,110,3415,81,US
39,Buick Century 350,13,8,350,175,4100,73,US
40,Buick Century Limited,25,6,181,110,2945,82,US
41,Buick Century Luxus (sw),13,8,350,150,4699,74,US
42,Buick Century Special,20.6,6,231,105,3380,78,US
43,Buick Electra 225 Custom,12,8,455,225,4951,73,US
44,Buick Estate Wagon (sw),14,8,455,225,4950,70,US
45,Buick Estate Wagon (sw),16.9,8,350,155,4360,79,US
46,Buick LeSabre Custom,13,8,350,155,4502,72,US
47,Buick Opel Isuzu Deluxe,30,4,111,80,2155,77,US
48,Buick Regal Sport Coupe (turbo),17.7,6,231,165,3445,78,US
49,Buick Skyhawk,21,6,231,110,3039,75,US
50,Buick Skylark,20.5,6,231,105,3425,77,US
51,Buick Skylark,26.6,4,151,84,2635,81,US
52,Buick Skylark 320,15,8,350,165,3693,70,US
53,Buick Skylark Limited,28.4,4,151,90,2670,79,US
54,Cadillac Eldorado,23,8,350,125,3900,79,US
55,Cadillac Seville,16.5,8,350,180,4380,76,US
56,Capri ii,25,4,140,92,2572,76,US
57,Chevrolet Bel Air,15,8,350,145,4440,75,US
58,Chevrolet C10,13,8,350,145,4055,76,US
59,Chevrolet Camaro,27,4,151,90,2950,82,US
60,Chevrolet Caprice Classic,13,8,400,150,4464,73,US
61,Chevrolet Caprice Classic,17.5,8,305,145,3880,77,US
62,Chevrolet Caprice Classic,17,8,305,130,3840,79,US
63,Chevrolet Cavalier,28,4,112,88,2605,82,US
64,Chevrolet Cavalier 2-door,34,4,112,88,2395,82,US
65,Chevrolet Cavalier Wagon,27,4,112,88,2640,82,US
66,Chevrolet Chevelle Concours (sw),13,8,307,130,4098,72,US
67,Chevrolet Chevelle Malibu,18,8,307,130,3504,70,US
68,Chevrolet Chevelle Malibu,17,6,250,100,3329,71,US
69,Chevrolet Chevelle Malibu Classic,16,6,250,100,3781,74,US
70,Chevrolet Chevelle Malibu Classic,17.5,8,305,140,4215,76,US
71,Chevrolet Chevette,29,4,85,52,2035,76,US
72,Chevrolet Chevette,30.5,4,98,63,2051,77,US
73,Chevrolet Chevette,30,4,98,68,2155,78,US
74,Chevrolet Chevette,32.1,4,98,70,2120,80,US
75,Chevrolet Citation,28.8,6,173,115,2595,79,US
76,Chevrolet Citation,28,4,151,90,2678,80,US
77,Chevrolet Citation,23.5,6,173,110,2725,81,US
78,Chevrolet Concours,17.5,6,250,110,3520,77,US
79,Chevrolet Impala,14,8,454,220,4354,70,US
80,Chevrolet Impala,14,8,350,165,4209,71,US
81,Chevrolet Impala,13,8,350,165,4274,72,US
82,Chevrolet Impala,11,8,400,150,4997,73,US
83,Chevrolet Malibu,13,8,350,145,3988,73,US
84,Chevrolet Malibu,20.5,6,200,95,3155,78,US
85,Chevrolet Malibu Classic (sw),19.2,8,267,125,3605,79,US
86,Chevrolet Monte Carlo,15,8,400,150,3761,70,US
87,Chevrolet Monte Carlo Landau,15.5,8,350,170,4165,77,US
88,Chevrolet Monte Carlo Landau,19.2,8,305,145,3425,78,US
89,Chevrolet Monte Carlo S,15,8,350,145,4082,73,US
90,Chevrolet Monza 2+2,20,8,262,110,3221,75,US
91,Chevrolet Nova,15,6,250,100,3336,74,US
92,Chevrolet Nova,18,6,250,105,3459,75,US
93,Chevrolet Nova,22,6,250,105,3353,76,US
94,Chevrolet Nova Custom,16,6,250,100,3278,73,US
95,Chevrolet Vega,20,4,140,90,2408,72,US
96,Chevrolet Vega,21,4,140,72,2401,73,US
97,Chevrolet Vega,25,4,140,75,2542,74,US
98,Chevrolet Vega (sw),22,4,140,72,2408,71,US
99,Chevrolet Vega 2300,28,4,140,90,2264,71,US
100,Chevrolet Woody,24.5,4,98,60,2164,76,US
101,Chevrolete Chevelle Malibu,16,6,250,105,3897,75,US
102,Chevy C20,10,8,307,200,4376,70,US
103,Chevy S-10,31,4,119,82,2720,82,US
104,Chrysler Cordoba,15.5,8,400,190,4325,77,US
105,Chrysler Lebaron Medallion,26,4,156,92,2585,82,US
106,Chrysler Lebaron Salon,17.6,6,225,85,3465,81,US
107,Chrysler Lebaron Town @ Country (sw),18.5,8,360,150,3940,79,US
108,Chrysler New Yorker Brougham,13,8,440,215,4735,73,US
109,Chrysler Newport Royal,13,8,400,190,4422,72,US
110,Datsun 1200,35,4,72,69,1613,71,Japan
111,Datsun 200SX,32.9,4,119,100,2615,81,Japan
112,Datsun 200-SX,23.9,4,119,97,2405,78,Japan
113,Datsun 210,31.8,4,85,65,2020,79,Japan
114,Datsun 210,40.8,4,85,65,2110,80,Japan
115,Datsun 210 MPG,37,4,85,65,1975,81,Japan
116,Datsun 280-ZX,32.7,6,168,132,2910,80,Japan
117,Datsun 310,37.2,4,86,65,2019,80,Japan
118,Datsun 310 GX,38,4,91,67,1995,82,Japan
119,Datsun 510,27.2,4,119,97,2300,78,Japan
120,Datsun 510 (sw),28,4,97,92,2288,72,Japan
121,Datsun 510 Hatchback,37,4,119,92,2434,80,Japan
122,Datsun 610,22,4,108,94,2379,73,Japan
123,Datsun 710,32,4,83,61,2003,74,Japan
124,Datsun 710,24,4,119,97,2545,75,Japan
125,Datsun 810,22,6,146,97,2815,77,Japan
126,Datsun 810 Maxima,24.2,6,146,120,2930,81,Japan
127,Datsun B210,31,4,79,67,1950,74,Japan
128,Datsun B-210,32,4,85,70,1990,76,Japan
129,Datsun B210 GX,39.4,4,85,70,2070,78,Japan
130,Datsun F-10 Hatchback,33.5,4,85,70,1945,77,Japan
131,Datsun PL510,27,4,97,88,2130,70,Japan
132,Datsun PL510,27,4,97,88,2130,71,Japan
133,Dodge Aries SE,29,4,135,84,2525,82,US
134,Dodge Aries Wagon (sw),25.8,4,156,92,2620,81,US
135,Dodge Aspen,18.6,6,225,110,3620,78,US
136,Dodge Aspen,19.1,6,225,90,3381,80,US
137,Dodge Aspen 6,20.6,6,225,110,3360,79,US
138,Dodge Aspen SE,20,6,225,100,3651,76,US
139,Dodge Challenger SE,15,8,383,170,3563,70,US
140,Dodge Charger 2.2,36,4,135,84,2370,82,US
141,Dodge Colt,28,4,90,75,2125,74,US
142,Dodge Colt,26,4,98,79,2255,76,US
143,Dodge Colt,27.9,4,156,105,2800,80,US
144,Dodge Colt (sw),28,4,98,80,2164,72,US
145,Dodge Colt Hardtop,25,4,97.5,80,2126,72,US
146,Dodge Colt Hatchback Custom,35.7,4,98,80,1915,79,US
147,Dodge Colt m/m,33.5,4,98,83,2075,77,US
148,Dodge Coronet Brougham,16,8,318,150,4190,76,US
149,Dodge Coronet Custom,15,8,318,150,3777,73,US
150,Dodge Coronet Custom (sw),14,8,318,150,4457,74,US
151,Dodge D100,13,8,318,150,3755,76,US
152,Dodge D200,11,8,318,210,4382,70,US
153,Dodge Dart Custom,15,8,318,150,3399,73,US
154,Dodge Diplomat,19.4,8,318,140,3735,78,US
155,Dodge Magnum XE,17.5,8,318,140,4080,78,US
156,Dodge Monaco (sw),12,8,383,180,4955,71,US
157,Dodge Monaco Brougham,15.5,8,318,145,4140,77,US
158,Dodge Omni,30.9,4,105,75,2230,78,US
159,Dodge Rampage,32,4,135,84,2295,82,US
160,Dodge St. Regis,18.2,8,318,135,3830,79,US
161,Fiat 124 Sport Coupe,26,4,98,90,2265,73,Europe
162,Fiat 124 TC,26,4,116,75,2246,74,Europe
163,Fiat 124B,30,4,88,76,2065,71,Europe
164,Fiat 128,29,4,68,49,1867,73,Europe
165,Fiat 128,24,4,90,75,2108,74,Europe
166,Fiat 131,28,4,107,86,2464,76,Europe
167,Fiat Strada Custom,37.3,4,91,69,2130,79,Europe
168,Fiat x1.9,31,4,79,67,2000,74,Europe
169,Ford Country,12,8,400,167,4906,73,US
170,Ford Country Squire (sw),13,8,400,170,4746,71,US
171,Ford Country Squire (sw),15.5,8,351,142,4054,79,US
172,Ford Escort 2H,29.9,4,98,65,2380,81,US
